character_id_a,name_a,character_id_b,name_b,episode_count
15,C. Montgomery Burns,208,Apu Nahasapeemapetilon,89
11,Ned Flanders,33,Announcer,89
3,Seymour Skinner,14,Waylon Smithers,89
25,Milhouse Van Houten,240,Mayor Joe Quimby,89
165,Lenny Leonard,404,Groundskeeper Willie,89
71,Chief Wiggum,140,Rev. Timothy Lovejoy,88
33,Announcer,139,Krusty the Clown,88
165,Lenny Leonard,240,Mayor Joe Quimby,88
11,Ned Flanders,14,Waylon Smithers,87
33,Announcer,101,Nelson Muntz,86
17,Moe Szyslak,40,Edna Krabappel-Flanders,86
33,Announcer,170,Carl Carlson,86
15,C. Montgomery Burns,33,Announcer,85
33,Announcer,211,Kent Brockman,85
11,Ned Flanders,404,Groundskeeper Willie,84
25,Milhouse Van Houten,801,Comic Book Guy,83
3,Seymour Skinner,240,Mayor Joe Quimby,83
208,Apu Nahasapeemapetilon,332,Dr. Julius Hibbert,82
25,Milhouse Van Houten,140,Rev. Timothy Lovejoy,81
165,Lenny Leonard,801,Comic Book Guy,80
71,Chief Wiggum,801,Comic Book Guy,80
40,Edna Krabappel-Flanders,101,Nelson Muntz,80
170,Carl Carlson,404,Groundskeeper Willie,79
31,Grampa Simpson,404,Groundskeeper Willie,78
40,Edna Krabappel-Flanders,71,Chief Wiggum,78
14,Waylon Smithers,101,Nelson Muntz,77
170,Carl Carlson,801,Comic Book Guy,77
139,Krusty the Clown,240,Mayor Joe Quimby,77
101,Nelson Muntz,240,Mayor Joe Quimby,76
14,Waylon Smithers,139,Krusty the Clown,76
140,Rev. Timothy Lovejoy,165,Lenny Leonard,76
101,Nelson Muntz,801,Comic Book Guy,76
139,Krusty the Clown,404,Groundskeeper Willie,75
11,Ned Flanders,240,Mayor Joe Quimby,75
25,Milhouse Van Houten,1078,Gary Chalmers,75
101,Nelson Muntz,1078,Gary Chalmers,74
11,Ned Flanders,801,Comic Book Guy,74
170,Carl Carlson,240,Mayor Joe Quimby,73
11,Ned Flanders,40,Edna Krabappel-Flanders,72
3,Seymour Skinner,801,Comic Book Guy,72
211,Kent Brockman,404,Groundskeeper Willie,71
33,Announcer,332,Dr. Julius Hibbert,70
15,C. Montgomery Burns,240,Mayor Joe Quimby,70
208,Apu Nahasapeemapetilon,404,Groundskeeper Willie,69
140,Rev. Timothy Lovejoy,170,Carl Carlson,69
139,Krusty the Clown,140,Rev. Timothy Lovejoy,68
40,Edna Krabappel-Flanders,165,Lenny Leonard,67
33,Announcer,208,Apu Nahasapeemapetilon,67
3,Seymour Skinner,140,Rev. Timothy Lovejoy,67
14,Waylon Smithers,332,Dr. Julius Hibbert,67
15,C. Montgomery Burns,404,Groundskeeper Willie,66
14,Waylon Smithers,208,Apu Nahasapeemapetilon,66
31,Grampa Simpson,240,Mayor Joe Quimby,65
31,Grampa Simpson,140,Rev. Timothy Lovejoy,64
208,Apu Nahasapeemapetilon,240,Mayor Joe Quimby,63
17,Moe Szyslak,1078,Gary Chalmers,62
14,Waylon Smithers,33,Announcer,61
140,Rev. Timothy Lovejoy,332,Dr. Julius Hibbert,61
139,Krusty the Clown,801,Comic Book Guy,61
40,Edna Krabappel-Flanders,170,Carl Carlson,61
40,Edna Krabappel-Flanders,211,Kent Brockman,60
40,Edna Krabappel-Flanders,404,Groundskeeper Willie,60
101,Nelson Muntz,140,Rev. Timothy Lovejoy,60
240,Mayor Joe Quimby,332,Dr. Julius Hibbert,59
140,Rev. Timothy Lovejoy,208,Apu Nahasapeemapetilon,59
332,Dr. Julius Hibbert,404,Groundskeeper Willie,59
404,Groundskeeper Willie,1078,Gary Chalmers,57
211,Kent Brockman,801,Comic Book Guy,57
140,Rev. Timothy Lovejoy,211,Kent Brockman,57
165,Lenny Leonard,1078,Gary Chalmers,56
71,Chief Wiggum,1078,Gary Chalmers,55
14,Waylon Smithers,240,Mayor Joe Quimby,55
15,C. Montgomery Burns,40,Edna Krabappel-Flanders,55
332,Dr. Julius Hibbert,801,Comic Book Guy,54
15,C. Montgomery Burns,140,Rev. Timothy Lovejoy,52
31,Grampa Simpson,40,Edna Krabappel-Flanders,52
208,Apu Nahasapeemapetilon,801,Comic Book Guy,51
31,Grampa Simpson,801,Comic Book Guy,51
15,C. Montgomery Burns,801,Comic Book Guy,51
170,Carl Carlson,1078,Gary Chalmers,49
139,Krusty the Clown,1078,Gary Chalmers,48
14,Waylon Smithers,404,Groundskeeper Willie,47
240,Mayor Joe Quimby,404,Groundskeeper Willie,47
40,Edna Krabappel-Flanders,332,Dr. Julius Hibbert,46
40,Edna Krabappel-Flanders,139,Krusty the Clown,44
33,Announcer,404,Groundskeeper Willie,44
240,Mayor Joe Quimby,801,Comic Book Guy,43
31,Grampa Simpson,1078,Gary Chalmers,43
11,Ned Flanders,1078,Gary Chalmers,43
33,Announcer,240,Mayor Joe Quimby,42
404,Groundskeeper Willie,801,Comic Book Guy,42
15,C. Montgomery Burns,1078,Gary Chalmers,41
33,Announcer,40,Edna Krabappel-Flanders,41
40,Edna Krabappel-Flanders,208,Apu Nahasapeemapetilon,40
140,Rev. Timothy Lovejoy,404,Groundskeeper Willie,40
33,Announcer,801,Comic Book Guy,40
14,Waylon Smithers,40,Edna Krabappel-Flanders,39
33,Announcer,140,Rev. Timothy Lovejoy,39
40,Edna Krabappel-Flanders,140,Rev. Timothy Lovejoy,38
140,Rev. Timothy Lovejoy,240,Mayor Joe Quimby,38
14,Waylon Smithers,140,Rev. Timothy Lovejoy,38
211,Kent Brockman,1078,Gary Chalmers,37
40,Edna Krabappel-Flanders,1078,Gary Chalmers,36
140,Rev. Timothy Lovejoy,801,Comic Book Guy,36
208,Apu Nahasapeemapetilon,1078,Gary Chalmers,35
332,Dr. Julius Hibbert,1078,Gary Chalmers,30
14,Waylon Smithers,801,Comic Book Guy,30
40,Edna Krabappel-Flanders,240,Mayor Joe Quimby,28
240,Mayor Joe Quimby,1078,Gary Chalmers,27
14,Waylon Smithers,1078,Gary Chalmers,27
40,Edna Krabappel-Flanders,801,Comic Book Guy,25
801,Comic Book Guy,1078,Gary Chalmers,25
140,Rev. Timothy Lovejoy,1078,Gary Chalmers,21
33,Announcer,1078,Gary Chalmers,20
1,Marge Simpson,153,Sideshow Bob,17
8,Bart Simpson,153,Sideshow Bob,17
9,Lisa Simpson,153,Sideshow Bob,17
2,Homer Simpson,153,Sideshow Bob,17
71,Chief Wiggum,153,Sideshow Bob,14
139,Krusty the Clown,153,Sideshow Bob,13
153,Sideshow Bob,211,Kent Brockman,9
17,Moe Szyslak,153,Sideshow Bob,9
25,Milhouse Van Houten,153,Sideshow Bob,8
153,Sideshow Bob,165,Lenny Leonard,8
140,Rev. Timothy Lovejoy,153,Sideshow Bob,8
33,Announcer,153,Sideshow Bob,7
3,Seymour Skinner,153,Sideshow Bob,6
153,Sideshow Bob,170,Carl Carlson,6
40,Edna Krabappel-Flanders,153,Sideshow Bob,6
14,Waylon Smithers,153,Sideshow Bob,5
31,Grampa Simpson,153,Sideshow Bob,5
153,Sideshow Bob,240,Mayor Joe Quimby,5
153,Sideshow Bob,332,Dr. Julius Hibbert,5
11,Ned Flanders,153,Sideshow Bob,5
153,Sideshow Bob,208,Apu Nahasapeemapetilon,4
15,C. Montgomery Burns,153,Sideshow Bob,4
101,Nelson Muntz,153,Sideshow Bob,4
153,Sideshow Bob,404,Groundskeeper Willie,3
153,Sideshow Bob,1078,Gary Chalmers,3
240,Mayor Joe Quimby,241,Entire Town,1
170,Carl Carlson,3592,Robert Pinsky,1
101,Nelson Muntz,3592,Robert Pinsky,1
139,Krusty the Clown,3592,Robert Pinsky,1
153,Sideshow Bob,801,Comic Book Guy,1
1,Marge Simpson,3592,Robert Pinsky,1
1,Marge Simpson,241,Entire Town,1
1,Marge Simpson,2739,ABBA,1
31,Grampa Simpson,3592,Robert Pinsky,1
14,Waylon Smithers,241,Entire Town,1
15,C. Montgomery Burns,241,Entire Town,1
3,Seymour Skinner,3592,Robert Pinsky,1
15,C. Montgomery Burns,2739,ABBA,1
25,Milhouse Van Houten,241,Entire Town,1
25,Milhouse Van Houten,3592,Robert Pinsky,1
