id,name,normalized_name
265,Emergency Waiting Area,emergency waiting area
266,Hospital Corridor,hospital corridor
267,Hospital Ward,hospital ward
268,Martin Prince'S Back Yard,martin prince back yard
269,Sidewalk,sidewalk
270,Springfield Street,springfield street
271,Springfield Gorge,springfield gorge
272,Springfield Hospital Hallway,springfield hospital hallway
273,Garage,garage
274,Springfield Elementary School Grounds,springfield elementary school grounds
275,Van Houten Home,van houten home
276,Janey'S House,janey house
277,Itchy & Scratchy International,itchy scratchy international
278,I & S International,i s international
279,Chairman I & S International'S Office,chairman i s international office
280,Art Museum,art museum
281,Various,various
282,Springfield Museum,springfield museum
283,A Busy Downtown Street,a busy downtown street
284,Same Scene,same scene
947,Arab City,arab city
285,The Office Of Lionel Hutz,the office of lionel hutz
286,The Law Office of Lionel Hutz,the law office of lionel hutz
287,Waiting Room Of Dr. Nick Riviera's Office,waiting room of dr nick riviera office
288,Dreamlike Suburban Springfield Street,dreamlike suburban springfield street
289,Burns's Car,burns car
290,Large Public Park,large public park
291,"Glass-Enclosed Consultation Room (Like In ""L.A. Law"")",glass-enclosed consultation room
292,Glass Booth,glass booth
293,Burns's Living Room,burns living room
294,The Happy Sumo,the happy sumo
295,The Happy Sumo Corridor,the happy sumo corridor
296,Tatami Room,tatami room
297,Hospital,hospital
298,Bedroom,bedroom
299,Flanders Door,flanders door
300,Side Of The Highway,side of the highway
301,Jail Cellblock,jail cellblock
302,Jail,jail
303,View Out Barney's Window,view out barney window
304,Barney's Car,barney car
305,Police Captain's Office,police captain office
306,Dr. Hibbert's Office,dr hibbert office
307,Springfield High School,springfield high school
308,Boy's Bathroom,boy bathroom
309,Detention Hall,detention hall
310,Homer'S House,homer house
311,Guidance Counselor'S Office,guidance counselor office
312,Shelbyville High School,shelbyville high school
313,Marge's Bedroom,marge bedroom
314,Marge'S House,marge house
315,Limo,limo
316,Springfield High School Gym,springfield high school gym
317,Inspiration Point,inspiration point
318,Foot Mount Sinai,foot mount sinai
319,Sunday School,sunday school
320,Grocery Store,grocery store
321,Quickie Mart,quickie mart
