id,name,normalized_name
1559,Rocket Cabin,rocket cabin
1560,Bart'S,bart
1561,Mall Conference Room,mall conference room
1562,The Androids Dungeon And Baseball Card Shop Comic Book Store,the androids dungeon and baseball card shop comic book store
1563,Cockamamie's,cockamamie
1564,Downtown Streets,downtown streets
1565,Sha-Boom Ka-Boom! Cafe,sha-boom ka-boom cafe
1566,Springfield Freeway,springfield freeway
1567,Ajax Steel Mill,ajax steel mill
1568,Moe'S Pick-Up,moe pick-up
1569,Outskirts Of Springfield,outskirts of springfield
1570,Gate To Santa'S Village,gate to santa village
1571,Santa's Village,santa village
1572,Road To Springfield,road to springfield
1573,Springfield Penitentiary Chapel,springfield penitentiary chapel
1574,Cecil's Brownstone Apartment,cecil brownstone apartment
1575,Springfield River Gorge,springfield river gorge
1576,Springfield Dam Site,springfield dam site
1577,Construction Trailer,construction trailer
1578,Terwilliger Apartment,terwilliger apartment
1579,Dam Site,dam site
1580,Dam,dam
1581,Water-Filled Drainpipe,water-filled drainpipe
1582,Water Pipe,water pipe
1583,Top Of Dam,top of dam
1584,Dam Overlook,dam overlook
1585,Center Of Dam,center of dam
1586,Observation Post,observation post
1587,Tv Room,tv room
1588,South Street Squidport,south street squidport
1589,Dr. Nick Rivera's Walk-In Clinic,dr nick rivera walk-in clinic
1590,Hibbert Home,hibbert home
1591,Springfield City Dump,springfield city dump
1592,Duff Bottling Plant,duff bottling plant
1593,"Moe's ""Pet Shop""",moe pet shop
1594,City Dump,city dump
1595,Dump,dump
1596,Rear Of Bowling Alley,rear of bowling alley
1597,Underground Cross-Section,underground cross-section
1598,Atmospheric Diner,atmospheric diner
1599,Superstore,superstore
1600,Martin'S Back Yard,martin back yard
1601,Martin'S Birthday Party,martin birthday party
1602,Martin's Playhouse,martin playhouse
1603,Channel Six Newsroom,channel six newsroom
1604,Springfield Pine Barrens,springfield pine barrens
1605,Springfield Dog Park,springfield dog park
1606,Repo Depot,repo depot
1607,Modest Springfield House,modest springfield house
1608,Mitchell'S House,mitchell house
1609,Street In Front Of Mitchell's House,street in front of mitchell house
1610,Uriah's Heap Recycling Center,uriah heap recycling center
1611,Burns's Former Office,burns former office
1612,Apartment Bldg.,apartment bldg
1613,City Bus,city bus
1614,Springfield Bay,springfield bay
1615,Recycling Center,recycling center
1616,Recycling Plant,recycling plant
1617,Li'l Lisa Recycling Plant,lil lisa recycling plant
1618,Residential Street,residential street
1619,Springfield Dump,springfield dump
1620,Lovejoy'S Kitchen,lovejoy kitchen
1621,Lovejoy'S Basement,lovejoy basement
1622,Eiffel Tower,eiffel tower
1623,Mr. Sparkle Detergent Factory,mr sparkle detergent factory
1624,Lonely Highway,lonely highway
1625,Donny's Discount Gas,donny discount gas
1626,Springfield Zoo,springfield zoo
1627,Elsewhere In The Zoo,elsewhere in the zoo
1628,"Baboon County, U.S.A.",baboon county usa
1629,35 Industry Way,35 industry way
1630,Bart's Factory,bart factory
1631,Cajun Restaurant,cajun restaurant
1632,New Orleans,new orleans
1633,Bourbon Street,bourbon street
1634,Bayou,bayou
1635,Another Part Of The Bayou,another part of the bayou
1636,Museum of TV and Television,museum of tv and television
1637,French Restaurant,french restaurant
1638,Men's Room,men room
1639,Broadcast Booth,broadcast booth
1640,Variety Show Sound Stage,variety show sound stage
1641,50'S Ice Cream Parlor,50 ice cream parlor
1642,Comroo,comroo
1643,Rommelwood Military Academy,rommelwood military academy
1644,Military Academy,military academy
1645,Barracks,barracks
1646,Back On The Firing Range,back on the firing range
1647,42Nd Street Between 8Th And 7Th - '70S,42nd street between 8th and 7th - 70s
1648,Lincoln Tunnel,lincoln tunnel
1649,New York City,new york city
1650,Terminal,terminal
1651,World Trade Center Plaza,world trade center plaza
1652,Crown Of Statue,crown of statue
1653,Immigrant Ship,immigrant ship
1654,Center Of World Trade Center Plaza,center of world trade center plaza
1655,Subway Car,subway car
1656,Another Subway Car,another subway car
1657,Chinatown Street,chinatown street
1658,World Trade Center Tower Lobby,world trade center tower lobby
1659,Observation Deck,observation deck
1660,World Trade Center Tower,world trade center tower
1661,Across The Street,across the street
1662,Office Building Hallway,office building hallway
1663,"""Mad"" Reception Area",mad reception area
1664,Midtown Avenue,midtown avenue
1665,Times Square,times square
1666,Midtown Street,midtown street
1667,Central Park,central park
1668,George Washington Bridge,george washington bridge
1669,Faculty Lounge,faculty lounge
1670,Storage Facility,storage facility
1671,Armin's Bare Seedy Apartment,armin bare seedy apartment
1672,Railroad Station,railroad station
1673,Door,door
1674,Dr. Pryor's Office,dr pryor office
1675,Preschool,preschool
1676,Springfield Private Preschool,springfield private preschool
1677,King Toot's Window,king toot window
1678,Army Surplus Store,army surplus store
1679,"Paris, France",paris france
1680,French Military Base,french military base
1681,French Missile Room,french missile room
1682,Paris Street,paris street
1683,Alien Planet,alien planet
1684,Alien Command Center,alien command center
1685,Professor Frink'S House,professor frink house
1686,Town Meeting House,town meeting house
1687,Sprynge-Fielde Gorge,sprynge-fielde gorge
1688,Witch'S Cave,witch cave
1689,Wiggum'S' House,wiggum house
1690,Gun Shop,gun shop
1691,Gun Store,gun store
1692,Meeting Hall,meeting hall
1693,Nra Meeting,nra meeting
1694,Sporting Goods Store,sporting goods store
1696,Springfield Pee Wee Football Field,springfield pee wee football field
1697,Springfield Football Field,springfield football field
1698,Apu's Car,apu car
1699,Air India Terminal,air india terminal
1700,Museum Of Natural History,museum of natural history
1701,Church Basement,church basement
1702,Municipal Court,municipal court
1703,Hilltop,hilltop
1704,Vatican,vatican
1705,Mall Entrance,mall entrance
1706,Impound Yard,impound yard
1707,City Hall Corridor,city hall corridor
1708,Test Room,test room
1709,Real Estate Office,real estate office
1710,Run-Down House,run-down house
1711,Small House,small house
1712,Murder House,murder house
1713,Unemployment Office,unemployment office
1714,Kliff'S Kar Chalet,kliff kar chalet
1715,Springfield Tv Store,springfield tv store
1716,Jeopardy! Studio,jeopardy studio
1717,Screamatorium,screamatorium
1718,Hitler's Car,hitler car
1719,Glass Bottomed Boat,glass bottomed boat
1720,Airport Terminal,airport terminal
1721,Airport Tarmac,airport tarmac
1722,Movementarian Compound,movementarian compound
1723,Movementarian School,movementarian school
1724,Movementarian Day Care Center,movementarian day care center
1725,Springfield Fire Department,springfield fire department
1726,Underwater,underwater
1727,Cave,cave
1728,Shoe Store,shoe store
1729,Springfield Amphitheater,springfield amphitheater
1730,Coffee House,coffee house
1731,Stu's Disco,stu disco
1732,Party Ship,party ship
1733,Springfield Outskirts,springfield outskirts
1734,Drive-In Movie,drive-in movie
1735,Drive-In,drive-in
1736,Railroad Crossing,railroad crossing
1737,Cliff Overlooking Springfield Harbor,cliff overlooking springfield harbor
1738,Mid-Air,mid-air
1739,Art Gallery,art gallery
1740,Channel Six,channel six
1741,Control Booth,control booth
1742,Knowledgeum,knowledgeum
1743,Sex-Education Pavilion,sex-education pavilion
1744,Toy Store,toy store
1745,Abandoned Prison,abandoned prison
1746,Morningwood Penitentiary,morningwood penitentiary
1747,Primitive Amphitheater,primitive amphitheater
1748,Naval Reserve Recruiting Office,naval reserve recruiting office
1749,Naval Reserves Recruiting Office,naval reserves recruiting office
1750,Back Room of Moe's,back room of moe
1751,Navy Barber Shop,navy barber shop
1752,Pier,pier
1753,Legion Hall,legion hall
1754,American Legion Hall,american legion hall
1755,Piercing Store,piercing store
1756,Port Springfield,port springfield
1757,Submarine Dock,submarine dock
1758,Submarine,submarine
1759,Officer'S Mess,officer mess
1760,Torpedo Room,torpedo room
1761,Enemy Sub,enemy sub
1762,S.S. Jebediah,ss jebediah
1763,Sub,sub
1764,Ocean Floor,ocean floor
1765,S.S. Jebediah Bridge,ss jebediah bridge
1766,General Assembly,general assembly
1767,U.s. Aircraft Carrier,us aircraft carrier
1768,Engine Room,engine room
1769,Submarine Hallway,submarine hallway
1770,Pacific Ocean,pacific ocean
1771,Naval Courtroom,naval courtroom
1772,Flanders Kitchen,flanders kitchen
1773,Irs Office,irs office
1774,Irs Waiting Room,irs waiting room
1775,Irs Interrogation Room,irs interrogation room
1776,French Airport,french airport
1777,Burns' Bearcat,burns bearcat
1778,Airfield,airfield
1779,Aircraft Hangar,aircraft hangar
1780,"10,000 Feet Over The Gulf Of Mexico",10000 feet over the gulf of mexico
1781,Burns's Plane,burns plane
1782,Government Jet,government jet
1783,Havana International Airport,havana international airport
1784,Havana,havana
1785,Presidential Palace,presidential palace
1786,Castro'S Private Office,castro private office
1787,Tv Station,tv station
1788,Animal Assistants,animal assistants
1789,Channel 6 News Studio,channel 6 news studio
1790,Brockman'S House,brockman house
1791,Ramshackle House,ramshackle house
1792,Railroad Tracks,railroad tracks
1793,Donut Shop,donut shop
1794,Department Store,department store
1795,Sanitation Commissioner'S Office,sanitation commissioner office
1796,City Clerk'S Office,city clerk office
1797,Garbage Truck Parking Area,garbage truck parking area
1798,Suburban Street,suburban street
1799,Wiggum's Dining Room,wiggum dining room
1800,Homer's Office,homer office
1801,Cliff Above Abandoned Mine Entrance,cliff above abandoned mine entrance
1802,Flanders Back Yard,flanders back yard
1803,Cletus' Outhouse,cletus outhouse
1804,Jet,jet
1805,Flag Zone,flag zone
1806,Base Of The Murderhorn,base of the murderhorn
1807,Power Sauce Corp.,power sauce corp
1808,Yuk-ingham Palace,yuk-ingham palace
1809,Deserted Area,deserted area
1810,Russian Neighborhood,russian neighborhood
1811,Springsonian Museum,springsonian museum
1812,Steep Road,steep road
1813,Operator'S Booth,operator booth
1814,Egyptian Exhibit Room,egyptian exhibit room
1815,Theme Restaurant,theme restaurant
1816,Barn,barn
1817,Bed And Breakfast,bed and breakfast
1818,Mini-Golf Course,mini-golf course
1819,Windmill,windmill
1820,Suburban Neighborhood,suburban neighborhood
1821,Someone'S Back Yard,someone back yard
1822,Sky Above Springfield,sky above springfield
1823,Crystal Cathedral,crystal cathedral
1824,Football Stadium,football stadium
1825,Dingo Junction,dingo junction
1826,Nurse's Office,nurse office
1827,Vent,vent
1828,Ventilation Duct,ventilation duct
1829,Kbbl Radio Station,kbbl radio station
1830,Frink'S House,frink house
1831,Museum Entrance,museum entrance
1832,Edison's Laboratory,edison laboratory
1833,Eerily-Lit Courtroom,eerily-lit courtroom
1834,Municipal Building,municipal building
1835,Office Door,office door
1836,Itchy'S House,itchy house
1837,Itchy & Scratchy Street Scene,itchy scratchy street scene
1838,Flying Saucer,flying saucer
1839,Grassy Area,grassy area
1840,Alec and Kim's House,alec and kim house
1841,Winnebago,winnebago
1842,Twentieth Century Fox Studios,twentieth century fox studios
1843,Fox Executive'S Office,fox executive office
1844,Farm Land,farm land
1845,Groovy Grove Natural Farm,groovy grove natural farm
1846,Eatie Gourmet's,eatie gourmet
1847,Hallway Outside Boy's Bathroom,hallway outside boy bathroom
1848,Springfield Public Beach,springfield public beach
1849,Ghost Town,ghost town
1850,Bloodbath Gulch,bloodbath gulch
1851,Train Tracks,train tracks
1852,Waterfront,waterfront
1853,Clothing Store,clothing store
1854,Tramp Steamer,tramp steamer
1855,Bodyguard School,bodyguard school
1856,Mayor'S Mansion,mayor mansion
1857,Springfield Dinner Theater,springfield dinner theater
1858,Dinner Theater,dinner theater
1859,Las Vegas Strip,las vegas strip
1860,Surveillance Room Above Roulette Table,surveillance room above roulette table
1861,Roman Empire Theme Bar - Later,roman empire theme bar - later
1862,Casino Dining Room,casino dining room
1863,Casino Lobby,casino lobby
1864,Nevada State Line,nevada state line
1865,Desert - Later,desert - later
1866,Springfield Memorial Stadium,springfield memorial stadium
1867,Playing Field,playing field
1868,Right Field Bleachers,right field bleachers
1869,Drive-In Theater,drive-in theater
1870,Fence Outside Drive-In,fence outside drive-in
1871,Wiggum'S Billboard,wiggum billboard
1872,Krabappel'S Kitchen,krabappel kitchen
1873,Government Surveillance Room,government surveillance room
1874,Tire Store,tire store
1875,Tire Store Waiting Room,tire store waiting room
1876,Springfield Travel Agency,springfield travel agency
1877,Stadium Parking Lot,stadium parking lot
1878,Sky Box,sky box
1879,Tv Production Company,tv production company
1880,Costington's,costington
1881,Dress Shirt Counter,dress shirt counter
1882,Garden Party,garden party
1883,Springfield Forest,springfield forest
1884,Apt. Building,apt building
1885,Tiffany's,tiffany
1886,Springfield Waterfront,springfield waterfront
1887,Car Dealership,car dealership
1888,Wild Animal Park,wild animal park
1889,Porta-John,porta-john
1890,"Porta-John, Continuous",porta-john continuous
1891,Canyonero,canyonero
1892,P.J. O'Harrigan'S,pj oharrigan
1893,Two-Lane Highway,two-lane highway
1894,Medical Building,medical building
1895,New Age Store,new age store
1896,Lisa's Tank,lisa tank
1897,Homer's Tank,homer tank
1898,Repo Truck,repo truck
1899,Underground,underground
1900,Springfield Beach,springfield beach
1901,Slaughterhouse,slaughterhouse
1902,Red's Truck,red truck
1903,Door Store,door store
1904,Truck Stop,truck stop
1905,Roadside Market,roadside market
1906,Homer's Truck,homer truck
1907,Georgia Highway,georgia highway
1908,Truck Depot,truck depot
1909,Garden of Eden,garden of eden
1910,Outside The Garden Of Eden,outside the garden of eden
1911,Ancient Construction Site,ancient construction site
1912,Pharaoh'S Construction Tent,pharaoh construction tent
1913,Pharaoh'S Tent,pharaoh tent
1914,Great Pyramid,great pyramid
1915,Great Pyramid Entrance,great pyramid entrance
1916,Red Sea,red sea
1917,Toilets,toilets
1918,Other Side Of The Red Sea,other side of the red sea
1919,Solomon'S Temple,solomon temple
1920,Jerusalem Royal Palace,jerusalem royal palace
1921,Jerusalem,jerusalem
1922,Palestinian Countryside,palestinian countryside
1923,Tower Of Babel,tower of babel
1924,Base Of Tower,base of tower
1925,Mom & Pop Hardware,mom pop hardware
1926,Gallery,gallery
1927,International Olympic Committee Building,international olympic committee building
1928,International Olympic Committee Office,international olympic committee office
1929,Tour Boat,tour boat
1930,Yacht,yacht
1931,Megastore,megastore
1932,Supermegastore,supermegastore
1933,Roof Of Building In Downtown Springfield,roof of building in downtown springfield
1934,Base Of Building,base of building
1935,Scotland,scotland
1936,Loch Ness,loch ness
1937,Loch,loch
1938,Las Vegas Casino,las vegas casino
1939,Euclid Street,euclid street
1940,Mensa House,mensa house
1941,Cyber Cafe,cyber cafe
1942,The Java Server,the java server
1943,33 Cent Store,33 cent store
1944,Plane,plane
1945,Tokyo Skyline,tokyo skyline
1946,Tokyo Hotel,tokyo hotel
1947,Simpson Hotel Room,simpson hotel room
1948,Downtown Tokyo,downtown tokyo
1949,Tokyo,tokyo
1950,Americatown Restaurant,americatown restaurant
1951,Tokyo Fruit Stand,tokyo fruit stand
1952,Tokyo Street,tokyo street
1953,Sumo Stadium,sumo stadium
1954,Elegant Tea Room,elegant tea room
1955,American Embassy,american embassy
1956,Fish Gutting Factory,fish gutting factory
1957,Gameshow Set,gameshow set
1958,Tokyo Tower,tokyo tower
1959,Rim Of Volcano,rim of volcano
1960,Volcano,volcano
1961,Electric Car,electric car
1962,Theater Lobby,theater lobby
1963,Private Jet,private jet
1964,Movie Studio,movie studio
1965,Mini-van,mini-van
1966,Mel Gibson's Office,mel gibson office
1967,Hollywood,hollywood
1968,Beverly Hills,beverly hills
1969,Screening Room,screening room
1970,Street Outside Studio,street outside studio
1971,Hollywood Automobile Museum,hollywood automobile museum
1972,Hollywood Blvd.,hollywood blvd
1973,Mercedes,mercedes
1974,Road Warrior Car,road warrior car
1975,Principal'S Office,principal office
1976,Drug Company,drug company
1977,Street On Outskirts Of Town,street on outskirts of town
1978,Army Barracks,army barracks
1979,Another Street,another street
1980,Springfield Shopper,springfield shopper
1981,Newspaper Press Room,newspaper press room
1982,Press Room,press room
1983,Newspaper,newspaper
2366,Clinic,clinic
1984,Planet Springfield Restaurant,planet springfield restaurant
1985,Rotating Restaurant,rotating restaurant
1986,Taste Of Springfield Festival,taste of springfield festival
1987,Taste Of Springfield,taste of springfield
1988,Coastal Road,coastal road
1989,Simpsons Front Yard,simpsons front yard
1990,High Tech Building,high tech building
1991,Spaceship Launch Area,spaceship launch area
1992,Spaceships On Launch Pad,spaceships on launch pad
1993,Googol-Plex,googol-plex
1994,Theater Door,theater door
1995,Outside Front Door,outside front door
1996,Behind Farmhouse,behind farmhouse
1997,Feed Store,feed store
1998,Farm,farm
1999,Roadside Stand,roadside stand
2000,Lavatory,lavatory
2001,Road in Front of Simpson Farm,road in front of simpson farm
2002,"""Springfield Squares"" Gameshow Set",springfield squares gameshow set
2003,Springfield State Building,springfield state building
2004,Springfield Trade Center,springfield trade center
2005,Underground Chamber,underground chamber
2006,Springfield YMCA,springfield ymca
2007,Ikea-Type Store,ikea-type store
2008,Sh_P,sh_p
2009,Showroom,showroom
2010,Shop,shop
2011,Lookout Point,lookout point
2012,Greaser's Cafe,greaser cafe
2013,Gang'S Camp,gang camp
2014,Poppa Wheelie'S,poppa wheelie
2015,Rural Gas Station,rural gas station
2016,Room Behind Chalkboard,room behind chalkboard
2017,Research Room,research room
2018,Suburban Living Room,suburban living room
2019,Corporate Park,corporate park
2020,Kid First Industries,kid first industries
2021,Lindsey Naegle'S Office,lindsey naegle office
2022,Springfield Tire Fire,springfield tire fire
2023,Moe's Apartment,moe apartment
2024,Funeral Home,funeral home
2025,Itchy's Apartment,itchy apartment
2026,Ski Resort,ski resort
2027,Ski Area,ski area
2028,Ski Lodge,ski lodge
2029,Marge's Hospital Room,marge hospital room
2030,Springfield Presbyterian Hospital,springfield presbyterian hospital
2031,Leper Colony,leper colony
2032,Electric Needle Room,electric needle room
2033,College Hall,college hall
2034,Campus Security Headquarters,campus security headquarters
2035,Dean Peterson'S House,dean peterson house
2036,Ditch,ditch
2037,Brother Faith'S Revival Meeting,brother faith revival meeting
2038,Brother Faith's Revival Tent,brother faith revival tent
2039,Revival Tent,revival tent
2040,Bart's Revival Tent,bart revival tent
2041,Bart's Tent,bart tent
2042,Announcer's Booth,announcer booth
2043,Mayo Clinic,mayo clinic
2044,Burns's Yacht,burns yacht
2045,State Fair,state fair
2046,State Fairgrounds,state fairgrounds
2047,Bandshell,bandshell
2048,Grandstand,grandstand
2049,Race Track,race track
2050,Starting Gate,starting gate
2051,Betting Line,betting line
2052,Jockey Room,jockey room
2053,Jockey'S Lair,jockey lair
2054,Wilderness Area,wilderness area
2055,Infield,infield
2056,Clay Babcock'S Race Car,clay babcock race car
2057,Rod And Todd'S Room,rod and todd room
2058,Sidewalk Near Flanders House,sidewalk near flanders house
2059,Video Dating Service Office,video dating service office
2060,Expensive Restaurant,expensive restaurant
2061,Duck Pond,duck pond
2062,Springfield Public TV Studio,springfield public tv studio
2063,Prop-Plane,prop-plane
2064,Tropical Island,tropical island
2065,Fox TV Pledge Drive Studio,fox tv pledge drive studio
2066,Forest Preserve,forest preserve
2067,Duff Days Entrance,duff days entrance
2068,Duff Days,duff days
2069,Tipsy-Whirl Ride,tipsy-whirl ride
2070,Duff Days Designated Drivers' Zone,duff days designated drivers zone
2071,Duff Days Fair Grounds,duff days fair grounds
2072,Doctor's Office,doctor office
2073,"""It Never Ends"" Set",it never ends set
2074,Moe's Dressing Room,moe dressing room
2075,Director'S Booth,director booth
2076,Soap Opera Set,soap opera set
2077,Indian Casino,indian casino
2745,Juvie,juvie
2078,Beach Bungalow,beach bungalow
2079,Simpson House of the Future,simpson house of the future
2080,Nelson'S Crab-Shack,nelson crab-shack
2081,Pennsylvania Avenue,pennsylvania avenue
2082,White House Lawn,white house lawn
2083,Oval Office,oval office
2084,Camp David,camp david
2085,Banquet Room,banquet room
2086,Casino Manager'S Office,casino manager office
2087,Springfield Business District,springfield business district
2088,Polynesian Restaurant,polynesian restaurant
2089,Office Building,office building
2090,A.A. Meeting,aa meeting
2091,Helicopter Flight School,helicopter flight school
2092,Florida,florida
2093,Swamp,swamp
2094,Southern Countryside,southern countryside
2095,Highway Construction Area,highway construction area
2096,Gardens In Front Of Courthouse,gardens in front of courthouse
2097,Eye Caramba,eye caramba
2098,"""eye Caramba"" Examination Room",eye caramba examination room
2099,Eyewear Store,eyewear store
2100,"""tommy Hillclimber"" Camping Store",tommy hillclimber camping store
2101,Dance Class,dance class
2102,Der Krazy Kraut,der krazy kraut
2103,Insanity Hearing Room,insanity hearing room
2104,Krusty the Clown Show Set,krusty the clown show set
2105,Microfilm Room,microfilm room
2106,Buckingham Palace,buckingham palace
2107,Hollywood Boulevard,hollywood boulevard
2108,Willie Nelson's Tour Bus,willie nelson tour bus
2109,Tv Editing Bay,tv editing bay
2110,Editing Room,editing room
2111,Heaven,heaven
2112,Heaven'S Gate,heaven gate
2113,Simpson Pumpkin House,simpson pumpkin house
2114,Edge Of Forest,edge of forest
2115,Dark Forest,dark forest
2116,Clearing,clearing
2117,Cottage,cottage
2118,Enchanted Forest,enchanted forest
2119,Tower In The Middle Of The Woods,tower in the middle of the woods
2120,Candy House,candy house
2121,Springfield Marine Park,springfield marine park
2122,Dolphin Show Amphitheater,dolphin show amphitheater
2123,Beach Parking Lot,beach parking lot
2124,Olde Springfield Hospital,olde springfield hospital
2125,Professor Frink's Lab,professor frink lab
2126,Olde Springfield Arena,olde springfield arena
2127,Springfield Festival of Books,springfield festival of books
2128,Stephen King'S Booth,stephen king booth
2129,Prof. Frink'S Booth,prof frink booth
2130,Dr. Nick Riviera's Booth,dr nick riviera booth
2131,"""Books For Dummies"" Section",books for dummies section
2132,Children'S Stage,children stage
2133,Panel Discussion Tent,panel discussion tent
2134,Krusty's Booth,krusty booth
2135,Sand Dune,sand dune
2136,Krusty's Car,krusty car
2137,Sophie'S Loft,sophie loft
2138,Fat Tony's Compound,fat tony compound
2139,Fat Tony's Bedroom,fat tony bedroom
2140,Fat Tony'S House,fat tony house
2141,Sophie'S Building,sophie building
2142,Barbershop,barbershop
2143,Thai Restaurant,thai restaurant
2144,Krustyburger Roof,krustyburger roof
2145,Abandoned Warehouse,abandoned warehouse
2146,Tree,tree
2147,Hillside,hillside
2148,Tree And Surrounding Forest,tree and surrounding forest
2149,Redwood Tree,redwood tree
2150,Moon,moon
2151,Hemp City,hemp city
2152,Supply Closet,supply closet
2153,Financial Planning Office,financial planning office
2154,Habitat,habitat
2155,Costington's Toy Department,costington toy department
2156,Mr. Costington's Office,mr costington office
2157,Announcers' Booth,announcers booth
2158,Beginning Of Parade Route,beginning of parade route
2159,Parade Route,parade route
2160,Honest John's Computers,honest john computers
2161,Computer Store,computer store
2162,Real Kwik-E-Mart,real kwik-e-mart
2163,Island Community Room,island community room
2164,Stark Room,stark room
2165,Waters Around Island,waters around island
2166,Number 2'S Lair (Stark Room),number 2 lair
2167,Magic Palace,magic palace
2168,Valet Parking Stand,valet parking stand
2169,Russian Space Station,russian space station
2170,Body Shop,body shop
2171,High Pressure Tire sales,high pressure tire sales
2174,Circus Tent,circus tent
2175,Vault,vault
2176,Springfield National Bank,springfield national bank
2177,Brokerage,brokerage
2178,Screaming Monkey Medical Research Center,screaming monkey medical research center
2179,Research Institute,research institute
2180,Prison Rodeo Arena,prison rodeo arena
2181,Clown Dressing Room,clown dressing room
2182,Prison Infirmary,prison infirmary
2183,Prison Weight Yard,prison weight yard
2184,Chiropractor'S Examining Room,chiropractor examining room
2185,Street In Front Of Homer's House,street in front of homer house
2186,Laundromat,laundromat
2187,Food Court,food court
2188,The Dungeon'S Secret Basement,the dungeon secret basement
2189,Crappy Apartment Complex,crappy apartment complex
2190,Comic Book Guy's Crappy Apartment,comic book guy crappy apartment
2191,Tennis Court,tennis court
2192,News Van,news van
2193,Simpson Tennis Court,simpson tennis court
2194,Springfield Tennis Stadium,springfield tennis stadium
2195,Center Court,center court
2196,Court,court
2197,Game Show Set,game show set
2198,Springfield Minimum Security Prison,springfield minimum security prison
2199,Storage Locker Depot,storage locker depot
2200,Storage Locker,storage locker
2201,Sports Equipment Shed,sports equipment shed
2202,Krusty the Clown Show Soundstage,krusty the clown show soundstage
2203,"""Laugh In"" Stage",laugh in stage
2204,Green Room,green room
2205,Track Stadium,track stadium
2206,Springfield Marathon,springfield marathon
2207,Marathon,marathon
2208,Classified Records Compound,classified records compound
2209,Compound,compound
2210,Middle Eastern Desert,middle eastern desert
2211,Producer's Office,producer office
2212,Aircraft Carrier,aircraft carrier
2213,Ship'S Bridge,ship bridge
2214,"""Mad"" Building",mad building
2215,Blockoland,blockoland
2216,Duff Stadium,duff stadium
2217,Outside Stadium,outside stadium
2218,Duff The 8th's Office,duff the 8th office
2219,Landscaped Area Behind Center Field Wall,landscaped area behind center field wall
2220,Albuquerque Mayor'S Office,albuquerque mayor office
2221,Suburban Kitchen,suburban kitchen
2222,Wide Concrete River Channel,wide concrete river channel
2223,Video Surveillance Room,video surveillance room
2224,Lecture Hall,lecture hall
2225,Industrial Plant,industrial plant
2226,Kitchen-Maid Plant,kitchen-maid plant
2227,African Village,african village
2228,Air Above Africa,air above africa
2229,Airstrip,airstrip
2230,African City,african city
2231,Rural Road,rural road
2232,Safari Vehicle,safari vehicle
2233,Savannah,savannah
2234,Wildlife Reserve,wildlife reserve
2235,Archaeological Site,archaeological site
2236,Masai Village,masai village
2237,Jungle Compound,jungle compound
2238,Joan Bushwell's Hut,joan bushwell hut
2239,Chimp Refuge,chimp refuge
2240,Mine Shaft,mine shaft
2241,Ferrari,ferrari
2242,Outskirts Of Town,outskirts of town
2243,West Springfield Elementary School,west springfield elementary school
2244,Cab Of Truck,cab of truck
2245,Dr. Nick'S Operating Room,dr nick operating room
2246,Abandoned Building,abandoned building
2247,Deep In Cave,deep in cave
2248,Church Parking Lot,church parking lot
2249,Church Yard,church yard
2250,Medical Tent,medical tent
2251,Ice Cream Social,ice cream social
2252,Praiseland,praiseland
2253,Ride,ride
2254,Food Booth,food booth
2255,Ymca Hallway,ymca hallway
2256,Morgue,morgue
2257,Boxcar,boxcar
2258,Log Cabin,log cabin
2259,Logging Village,logging village
2260,Cobalt Mountain,cobalt mountain
2261,Marge'S Farmhouse,marge farmhouse
2262,On A Hill Nearby,on a hill nearby
2263,Big City,big city
2264,Great Plains,great plains
2265,Prairie,prairie
2266,Mountain Pass,mountain pass
2267,Picturesque Street,picturesque street
2268,Bank Of Mississippi River,bank of mississippi river
2269,Mississippi River,mississippi river
2270,Bottom Of Rapids,bottom of rapids
2271,General Store,general store
2272,Riverboat,riverboat
2273,Midair,midair
2274,Tower Atop Burns' Mansion,tower atop burns mansion
2275,Front Of Burns' Mansion,front of burns mansion
2276,Top Of Tower,top of tower
2277,Springfield Downtown,springfield downtown
2278,Tarot Card Parlor,tarot card parlor
2279,Forest Outside Springfield,forest outside springfield
2280,Simpson House With Ultrahouse Additions,simpson house with ultrahouse additions
2281,Bottom Of Stairs,bottom of stairs
2282,Wizard School,wizard school
2283,Montymort'S Lair,montymort lair
2284,Springwarts Academy,springwarts academy
2285,Studio Lot,studio lot
2286,Lard Lad Donut Shop,lard lad donut shop
2287,Juvenile Court,juvenile court
2288,Room Five,room five
2289,Flanders Garage,flanders garage
2290,Chinese Ministry Of Aggression,chinese ministry of aggression
2291,Alley Behind Moe'S,alley behind moe
2292,University,university
2293,Swigmore U.,swigmore u
2294,Swigmore U. Campus,swigmore u campus
2295,The New Moe's,the new moe
2296,M,m
2297,Homer's Garage,homer garage
2298,Wide Shot Of Woods,wide shot of woods
2299,Chinatown,chinatown
2300,Strip Club,strip club
2301,Disco,disco
2302,Ned Flanders' Room,ned flanders room
2303,Snake's Hideout,snake hideout
2304,Rock Quarry,rock quarry
2305,Top Of Quarry,top of quarry
2306,Bottom Of Quarry,bottom of quarry
2307,Quarry,quarry
2308,Edge Of Quarry,edge of quarry
2309,Drainage Pipe,drainage pipe
2310,Drainpipe,drainpipe
2311,Rocket Ship,rocket ship
2312,Tv-Style Control Room,tv-style control room
2313,Evil Castle,evil castle
2314,Springfield Republican Party Headquarters,springfield republican party headquarters
2315,Cell,cell
2316,Mount Swartzwelder,mount swartzwelder
2317,Edge Of Gorge,edge of gorge
2318,Gorge,gorge
2319,Log In Gorge,log in gorge
