character_id,name,normalized_name,gender
5059,Skratt,skratt,unknown
5060,Skratts,skratts,unknown
5061,Hispanic Crowd,hispanic crowd,unknown
5062,Memory Wiggum,memory wiggum,unknown
5063,Memory Marge,memory marge,unknown
5064,Memory Homer,memory homer,unknown
5065,High School Glee Club,high school glee club,unknown
5066,Memory Lisa,memory lisa,unknown
5067,Memory Bart,memory bart,unknown
5068,20-Year-Old Homer,20-year-old homer,unknown
5069,Memory Duffman,memory duffman,unknown
5070,RECORDED SIDESHOW MEL VOICE,recorded sideshow mel voice,unknown
5071,Teenage Fast-food Workers,teenage fast-food workers,unknown
5072,Cheesy McMayor,cheesy mcmayor,unknown
5073,Dan Rather,dan rather,unknown
5074,News Producer,news producer,unknown
5075,Candidates,candidates,unknown
5076,Farmer's Wife,farmers wife,unknown
5077,Ivy League-type,ivy league-type,unknown
5078,Ivy League-types,ivy league-types,unknown
5079,Scruffy Blogger,scruffy blogger,unknown
5080,Jon Stewart,jon stewart,unknown
5081,CAMPAIGN ANNOUNCER,campaign announcer,unknown
5082,Senator Whinergirl,senator whinergirl,unknown
5083,HILLARY,hillary,unknown
5084,Campaign Worker #1,campaign worker 1,unknown
5085,Senator Vane,senator vane,unknown
5086,GOV. HUNTINGCHURCH,gov huntingchurch,unknown
4987,Colby,colby,m
5032,Milo,milo,m
5014,Ted Nugent,ted nugent,m
5088,Fred Thompson,fred thompson,unknown
5089,Locals,locals,unknown
5090,Dennis Kucinich,dennis kucinich,unknown
5091,Adriatica Vel Johnson,adriatica vel johnson,unknown
5092,Clarence Nitbaum,clarence nitbaum,unknown
5093,Democrats,democrats,unknown
5094,Young Lou,young lou,unknown
5095,Young Comic Book Guy,young comic book guy,unknown
5097,Prof. August's Thoughts,prof augusts thoughts,unknown
5098,Gas Man,gas man,unknown
5099,College Kid,college kid,unknown
5100,2nd College Kid,2nd college kid,unknown
5101,Buxom Coed,buxom coed,unknown
5102,Patron,patron,unknown
5103,MUSCLE-BOUND IDIOT DEPARTMENT HEAD,muscle-bound idiot department head,unknown
5104,Kurt Loder,kurt loder,unknown
5105,SECOND ZOMBIE,second zombie,unknown
5106,THIRD ZOMBIE,third zombie,unknown
5107,Wolfman,wolfman,unknown
5108,Tunnel Of Love Carny,tunnel of love carny,unknown
5109,Bonnie,bonnie,unknown
5110,Clyde,clyde,unknown
5111,Clyde's Thoughts,clydes thoughts,unknown
5112,Newsreel Narrator,newsreel narrator,unknown
5113,Franklin Roosevelt,franklin roosevelt,unknown
5114,Japanese Ambassador,japanese ambassador,unknown
5115,Mexican Mouse,mexican mouse,unknown
5116,Robby Robin,robby robin,unknown
5117,The Vamp,the vamp,unknown
5118,Shady,shady,unknown
5119,Moe Dog,moe dog,unknown
5120,Snooty Male Flea,snooty male flea,unknown
5121,Lady Bitington,lady bitington,unknown
5122,Siamese Cats,siamese cats,unknown
5123,Upper-class Fleas,upper-class fleas,unknown
5124,Lisa Puppy,lisa puppy,unknown
5125,Bart Puppy,bart puppy,unknown
5126,Dog Catcher Willie,dog catcher willie,unknown
5127,Wacky Dog,wacky dog,unknown
5128,DOGCATCHER WILLIE,dogcatcher willie,unknown
5129,Johnny Rotten,johnny rotten,unknown
5130,Nancy,nancy,unknown
5131,Sid,sid,unknown
5132,Male Punk Rock Fan,male punk rock fan,unknown
5133,Steve,steve,unknown
5134,Paul Cook,paul cook,unknown
5135,Texan Announcer,texan announcer,unknown
5136,Texan Crowd,texan crowd,unknown
5137,Punk #1,punk 1,unknown
5138,Punk #2,punk 2,unknown
5139,Mike,mike,unknown
5140,School Nurse,school nurse,unknown
5141,Terry Gross,terry gross,unknown
5142,Betsy,betsy,unknown
5143,HOTDOG VENDOR,hotdog vendor,unknown
5144,Pepper Vendor,pepper vendor,unknown
5145,Sad-looking Woman,sad-looking woman,unknown
5146,Happy Little Elves,happy little elves,unknown
5147,Female Prisoner,female prisoner,unknown
5148,Prisoner Lisa,prisoner lisa,unknown
5149,Bald Detective,bald detective,unknown
5150,Red-haired Detective,red-haired detective,unknown
